Day	Date	Measured Value
1	15/01/2020	45.6
2	16/01/2020	45.13
3	17/01/2020	44.78
4	18/01/2020	44.5
5	19/01/2020	44.23
6	20/01/2020	43.95
7	21/01/2020	43.6
8	22/01/2020	43.48
9	23/01/2020	43.23
10	24/01/2020	42.73
11	25/01/2020	42.25
12	26/01/2020	41.75
13	27/01/2020	41.03
14	28/01/2020	40.68
15	29/01/2020	40.08
16	30/01/2020	39.88
17	31/01/2020	39.55
18	01/02/2020	39.35
19	02/02/2020	39.1
20	03/02/2020	38.85
21	04/02/2020	38.7
22	05/02/2020	38.58
23	06/02/2020	38.1
24	07/02/2020	38.33
25	08/02/2020	38.23
26	09/02/2020	38.18
27	10/02/2020	38.18
28	11/02/2020	38.18
29	12/02/2020	38.25
30	13/02/2020	38.43
31	14/02/2020	38.78
32	15/02/2020	38.98
33	16/02/2020	39.18
34	17/02/2020	39.25
35	18/02/2020	39.05
36	19/02/2020	39.53
37	20/02/2020	39.73
38	21/02/2020	39.95
39	22/02/2020	40.1
40	23/02/2020	40.35
41	24/02/2020	40.55
42	25/02/2020	40.5
43	26/02/2020	40.88
44	27/02/2020	41.05
45	28/02/2020	41.15
46	29/02/2020	41.23
47	01/03/2020	41.5
48	02/03/2020	41.55
49	03/03/2020	41.6
50	04/03/2020	41.55
51	05/03/2020	41.83
52	06/03/2020	41.9
53	07/03/2020	41.98
54	08/03/2020	42.03
55	09/03/2020	42.08
56	10/03/2020	42.1
57	11/03/2020	42.08
58	12/03/2020	42.05
59	13/03/2020	42.03
60	14/03/2020	42.08
61	15/03/2020	41.95
62	16/03/2020	41.98
63	17/03/2020	42.13
64	18/03/2020	42.15
65	19/03/2020	42.1
66	20/03/2020	42.1
67	21/03/2020	42.18
68	22/03/2020	42.28
69	23/03/2020	42.33
70	24/03/2020	42.33
71	25/03/2020	42.35
72	26/03/2020	42.4
73	27/03/2020	42.35
74	28/03/2020	42.58
75	29/03/2020	42.65
76	30/03/2020	42.73
77	31/03/2020	42.63
78	01/04/2020	42.83
79	02/04/2020	42.88
80	03/04/2020	42.9
81	04/04/2020	42.9
82	05/04/2020	42.95
83	06/04/2020	42.95
84	07/04/2020	43.03
85	08/04/2020	43.03
86	09/04/2020	43.03
87	10/04/2020	43.03
88	11/04/2020	43.08
89	12/04/2020	42.88
90	13/04/2020	43.08
91	14/04/2020	42.93
92	15/04/2020	43.08
93	16/04/2020	43.08
94	17/04/2020	43.1
95	18/04/2020	43.13
96	19/04/2020	43.15
97	20/04/2020	43.15
