Day	Date	Measured Value
98	21/04/2020	43.15
99	22/04/2020	43.15
100	23/04/2020	43.15
101	24/04/2020	43.18
102	25/04/2020	43.18
103	26/04/2020	43.18
104	27/04/2020	43.18
105	28/04/2020	43.18
106	29/04/2020	43.23
107	30/04/2020	43.23
108	01/05/2020	43.18
109	02/05/2020	43.18
110	03/05/2020	43.18
111	04/05/2020	42.98
112	05/05/2020	43.13
113	06/05/2020	43.08
114	07/05/2020	43.05
115	08/05/2020	43
116	09/05/2020	42.95
117	10/05/2020	42.95
118	11/05/2020	43
119	12/05/2020	43.03
120	13/05/2020	42.98
121	14/05/2020	42.63
122	15/05/2020	42.85
123	16/05/2020	42.83
124	17/05/2020	41.9
125	18/05/2020	40.63
126	19/05/2020	40.6
127	20/05/2020	40.63
128	21/05/2020	40.8
129	22/05/2020	40.98
130	23/05/2020	40.93
131	24/05/2020	40.93
132	25/05/2020	40.88
133	26/05/2020	40.8
134	27/05/2020	40.53
135	28/05/2020	40.63
136	29/05/2020	40.5
137	30/05/2020	40.55
138	31/05/2020	40.5
139	01/06/2020	40.23
140	02/06/2020	40.2
141	03/06/2020	40.28
142	04/06/2020	40.28
143	05/06/2020	40.23
144	06/06/2020	40.15
145	07/06/2020	40.1
146	08/06/2020	40.05
147	09/06/2020	40.18
148	10/06/2020	39.98
149	11/06/2020	40.1
150	12/06/2020	40.03
151	13/06/2020	39.95
152	14/06/2020	39.93
153	15/06/2020	39.73
154	16/06/2020	39.83
155	17/06/2020	40.18
156	18/06/2020	41.38
157	19/06/2020	41.68
158	20/06/2020	43.63
159	21/06/2020	44.08
160	22/06/2020	43.93
161	23/06/2020	43.55
162	24/06/2020	44.15
163	25/06/2020	44.65
164	26/06/2020	44.75
165	27/06/2020	44.78
166	28/06/2020	44.78
167	29/06/2020	44.6
168	30/06/2020	44.93
169	01/07/2020	46.53
170	02/07/2020	47.6
171	03/07/2020	47.7
172	04/07/2020	47.63
173	05/07/2020	47.2
174	06/07/2020	47.45
175	07/07/2020	47.38
176	08/07/2020	47.93
177	09/07/2020	48.43
178	10/07/2020	48.23
179	11/07/2020	48.33
180	12/07/2020	48.48
181	13/07/2020	48.28
182	14/07/2020	48.2
183	15/07/2020	48.15
184	16/07/2020	48.05
185	17/07/2020	47.98
186	18/07/2020	47.85
187	19/07/2020	47.8
188	20/07/2020	47.73
189	21/07/2020	47.68
190	22/07/2020	47.63
191	23/07/2020	47.53
192	24/07/2020	47.43
193	25/07/2020	47.2
194	26/07/2020	47.15
195	27/07/2020	47.38
196	28/07/2020	47.25
197	29/07/2020	47.63
198	30/07/2020	47.95
199	31/07/2020	48.03
200	01/08/2020	48
201	02/08/2020	47.95
202	03/08/2020	47.88
203	04/08/2020	47.83
204	05/08/2020	47.75
205	06/08/2020	47.5
206	07/08/2020	47.68
207	08/08/2020	47.65
208	09/08/2020	47.63
209	10/08/2020	47.63
210	11/08/2020	48
211	12/08/2020	47.88
212	13/08/2020	48.13
213	14/08/2020	48.13
214	15/08/2020	48.1
215	16/08/2020	48
216	17/08/2020	47.98
217	18/08/2020	47.88
218	19/08/2020	47.85
219	20/08/2020	47.8
220	21/08/2020	47.95
221	22/08/2020	48.2
222	23/08/2020	48.15
223	24/08/2020	47.83
224	25/08/2020	47.98
225	26/08/2020	47.88
226	27/08/2020	47.6
227	28/08/2020	47.78
228	29/08/2020	47.7
229	30/08/2020	47.63
230	31/08/2020	47.55
231	01/09/2020	47.5
232	02/09/2020	47.48
233	03/09/2020	47.48
234	04/09/2020	47.48
235	05/09/2020	47.45
236	06/09/2020	47.43
237	07/09/2020	47.3
238	08/09/2020	47.15
239	09/09/2020	47.25
240	10/09/2020	47.3
241	11/09/2020	47.28
242	12/09/2020	47.28
243	13/09/2020	47.23
244	14/09/2020	47.18
245	15/09/2020	46.98
246	16/09/2020	47.18
247	17/09/2020	47.18
248	18/09/2020	47.18
249	19/09/2020	47.15
250	20/09/2020	47.13
251	21/09/2020	47.1
252	22/09/2020	47.1
253	23/09/2020	46.9
254	24/09/2020	46.98
255	25/09/2020	47.03
256	26/09/2020	46.8
257	27/09/2020	47
258	28/09/2020	47
259	29/09/2020	46.98
260	30/09/2020	46.9
261	01/10/2020	46.9
262	02/10/2020	46.83
263	03/10/2020	46.85
264	04/10/2020	46.9
265	05/10/2020	46.9
266	06/10/2020	47.08
267	07/10/2020	47.1
268	08/10/2020	47.15
269	09/10/2020	47.15
270	10/10/2020	47.15
271	11/10/2020	47.18
272	12/10/2020	47
273	13/10/2020	47.13
274	14/10/2020	46.9
275	15/10/2020	47.08
276	16/10/2020	47.05
277	17/10/2020	47
278	18/10/2020	47
279	19/10/2020	47
280	20/10/2020	46.8
281	21/10/2020	46.73
282	22/10/2020	46.93
283	23/10/2020	46.83
284	24/10/2020	46.78
285	25/10/2020	46.78
286	26/10/2020	46.53
287	27/10/2020	46.75
288	28/10/2020	46.5
289	29/10/2020	46.7
290	30/10/2020	46.7
291	31/10/2020	46.7
292	01/11/2020	46.7
293	02/11/2020	46.48
294	03/11/2020	46.65
295	04/11/2020	46.63
296	05/11/2020	46.58
297	06/11/2020	46.55
298	07/11/2020	46.55
299	08/11/2020	46.48
300	09/11/2020	46.28
301	10/11/2020	46.45
302	11/11/2020	46.43
303	12/11/2020	46.23
304	13/11/2020	46.35
305	14/11/2020	46.33
306	15/11/2020	46.3
307	16/11/2020	46.1
308	17/11/2020	46.23
309	18/11/2020	46.15
310	19/11/2020	46.05
311	20/11/2020	45.9
312	21/11/2020	46.08
313	22/11/2020	46.08
314	23/11/2020	46
315	24/11/2020	45.9
316	25/11/2020	45.8
317	26/11/2020	45.65
318	27/11/2020	45.5
319	28/11/2020	45.3
320	29/11/2020	45.08
321	30/11/2020	44.85
322	01/12/2020	44.4
323	02/12/2020	44.28
324	03/12/2020	43.93
325	04/12/2020	43.65
326	05/12/2020	43.45
327	06/12/2020	43.3
328	07/12/2020	43.15
329	08/12/2020	43
330	09/12/2020	42.83
331	10/12/2020	42.65
332	11/12/2020	42.43
333	12/12/2020	42.1
334	13/12/2020	41.78
335	14/12/2020	41.45
336	15/12/2020	40.98
337	16/12/2020	40.85
338	17/12/2020	40.45
339	18/12/2020	40.43
340	19/12/2020	40.3
341	20/12/2020	40.28
342	21/12/2020	40.25
343	22/12/2020	39.88
344	23/12/2020	40.23
