Day	Date	Measured Value
1	15/01/2020	51.85
2	16/01/2020	51.8
3	17/01/2020	51.8
4	18/01/2020	51.7
5	19/01/2020	51.65
6	20/01/2020	51.6
7	21/01/2020	51.55
8	22/01/2020	51.5
9	23/01/2020	51.4
10	24/01/2020	51.3
11	25/01/2020	51.1
12	26/01/2020	50.9
13	27/01/2020	50.4
14	28/01/2020	50.15
15	29/01/2020	49.5
16	30/01/2020	49.25
17	31/01/2020	48.75
18	01/02/2020	48.3
19	02/02/2020	47.75
20	03/02/2020	47.25
21	04/02/2020	46.75
22	05/02/2020	46.2
23	06/02/2020	45.3
24	07/02/2020	45.25
25	08/02/2020	44.85
26	09/02/2020	44.55
27	10/02/2020	44.25
28	11/02/2020	44
29	12/02/2020	43.85
30	13/02/2020	43.7
31	14/02/2020	43.7
32	15/02/2020	43.7
33	16/02/2020	43.8
34	17/02/2020	43.85
35	18/02/2020	43.8
36	19/02/2020	44.05
37	20/02/2020	44.2
38	21/02/2020	44.35
39	22/02/2020	44.55
40	23/02/2020	44.75
41	24/02/2020	44.95
42	25/02/2020	45
43	26/02/2020	45.2
44	27/02/2020	45.6
45	28/02/2020	45.6
46	29/02/2020	45.7
47	01/03/2020	46
48	02/03/2020	46.15
49	03/03/2020	46.3
50	04/03/2020	46.3
51	05/03/2020	46.7
52	06/03/2020	46.9
53	07/03/2020	47.05
54	08/03/2020	47.25
55	09/03/2020	47.35
56	10/03/2020	47.5
57	11/03/2020	47.55
58	12/03/2020	47.65
59	13/03/2020	47.7
60	14/03/2020	47.8
61	15/03/2020	47.7
62	16/03/2020	48
63	17/03/2020	48.05
64	18/03/2020	48.15
65	19/03/2020	48.2
66	20/03/2020	48.25
67	21/03/2020	48.35
68	22/03/2020	48.4
69	23/03/2020	48.45
70	24/03/2020	48.55
71	25/03/2020	48.65
72	26/03/2020	48.7
73	27/03/2020	48.6
74	28/03/2020	48.85
75	29/03/2020	48.95
76	30/03/2020	49.1
77	31/03/2020	48.95
78	01/04/2020	49.2
79	02/04/2020	49.25
80	03/04/2020	49.3
81	04/04/2020	49.35
82	05/04/2020	49.35
83	06/04/2020	49.45
84	07/04/2020	49.45
85	08/04/2020	49.5
86	09/04/2020	49.5
87	10/04/2020	49.55
88	11/04/2020	49.55
89	12/04/2020	49.35
90	13/04/2020	49.55
91	14/04/2020	49.35
92	15/04/2020	49.55
93	16/04/2020	49.55
94	17/04/2020	49.6
95	18/04/2020	49.6
96	19/04/2020	49.6
97	20/04/2020	49.55
98	21/04/2020	49.6
99	22/04/2020	49.6
100	23/04/2020	49.6
101	24/04/2020	49.6
102	25/04/2020	49.6
103	26/04/2020	49.55
104	27/04/2020	49.55
105	28/04/2020	49.65
106	29/04/2020	49.6
107	30/04/2020	49.65
108	01/05/2020	49.65
109	02/05/2020	49.65
110	03/05/2020	49.6
111	04/05/2020	49.55
112	05/05/2020	49.6
113	06/05/2020	49.55
114	07/05/2020	49.55
115	08/05/2020	49.55
116	09/05/2020	49.55
117	10/05/2020	49.5
118	11/05/2020	49.45
119	12/05/2020	49.45
120	13/05/2020	49.45
121	14/05/2020	49.2
122	15/05/2020	49.35
123	16/05/2020	49.35
