Day	Date	Measured Value
124	17/05/2020	48.25
125	18/05/2020	42
126	19/05/2020	42
127	20/05/2020	41.9
128	21/05/2020	41.9
129	22/05/2020	41.9
130	23/05/2020	41.9
131	24/05/2020	41.85
132	25/05/2020	41.8
133	26/05/2020	41.75
134	27/05/2020	41.55
135	28/05/2020	41.65
136	29/05/2020	41.6
137	30/05/2020	41.6
138	31/05/2020	41.55
139	01/06/2020	41.3
140	02/06/2020	41.3
141	03/06/2020	41.4
142	04/06/2020	41.4
143	05/06/2020	41.35
144	06/06/2020	41.35
145	07/06/2020	41.2
146	08/06/2020	41.2
147	09/06/2020	41.35
148	10/06/2020	41.15
149	11/06/2020	41.3
150	12/06/2020	41.25
151	13/06/2020	41.25
152	14/06/2020	41.25
153	15/06/2020	41.05
154	16/06/2020	41.15
155	17/06/2020	41.15
156	18/06/2020	41.05
157	19/06/2020	41.05
158	20/06/2020	40.75
159	21/06/2020	40.95
160	22/06/2020	40.75
161	23/06/2020	40.45
162	24/06/2020	40.8
163	25/06/2020	40.75
164	26/06/2020	40.7
165	27/06/2020	40.65
166	28/06/2020	40.55
167	29/06/2020	40.55
168	30/06/2020	40.55
169	01/07/2020	40.45
170	02/07/2020	40.35
171	03/07/2020	40.4
172	04/07/2020	40.45
173	05/07/2020	40.35
174	06/07/2020	40.55
175	07/07/2020	40.55
176	08/07/2020	40.7
177	09/07/2020	42.75
178	10/07/2020	44.05
179	11/07/2020	44.6
180	12/07/2020	46.8
181	13/07/2020	47.6
182	14/07/2020	47.7
183	15/07/2020	47.65
184	16/07/2020	47.65
185	17/07/2020	47.6
186	18/07/2020	47.5
187	19/07/2020	47.5
188	20/07/2020	47.4
189	21/07/2020	47.35
190	22/07/2020	47.35
191	23/07/2020	47.25
192	24/07/2020	47.15
193	25/07/2020	46.9
194	26/07/2020	47.1
195	27/07/2020	47
196	28/07/2020	46.8
197	29/07/2020	46.9
198	30/07/2020	46.9
199	31/07/2020	47.1
200	01/08/2020	47.3
201	02/08/2020	47.4
202	03/08/2020	47.4
203	04/08/2020	47.4
204	05/08/2020	47.4
205	06/08/2020	47.2
206	07/08/2020	47.4
207	08/08/2020	47.4
208	09/08/2020	47.3
209	10/08/2020	47.3
210	11/08/2020	47.3
211	12/08/2020	47.4
212	13/08/2020	47.5
213	14/08/2020	47.6
214	15/08/2020	47.6
215	16/08/2020	47.6
216	17/08/2020	47.6
217	18/08/2020	47.6
218	19/08/2020	47.6
219	20/08/2020	47.55
220	21/08/2020	47.55
221	22/08/2020	47.6
222	23/08/2020	47.7
223	24/08/2020	47.7
224	25/08/2020	47.65
225	26/08/2020	47.65
226	27/08/2020	47.45
227	28/08/2020	47.6
228	29/08/2020	47.6
229	30/08/2020	47.55
230	31/08/2020	47.5
231	01/09/2020	47.45
232	02/09/2020	47.45
233	03/09/2020	47.4
234	04/09/2020	47.4
235	05/09/2020	47.4
236	06/09/2020	47.4
237	07/09/2020	47.3
238	08/09/2020	47.1
239	09/09/2020	47.3
240	10/09/2020	47.3
241	11/09/2020	47.3
242	12/09/2020	47.3
243	13/09/2020	47.3
244	14/09/2020	47.25
245	15/09/2020	47.05
246	16/09/2020	47.2
247	17/09/2020	47.2
248	18/09/2020	47.15
249	19/09/2020	47.15
250	20/09/2020	47.15
251	21/09/2020	47.15
252	22/09/2020	47.1
253	23/09/2020	46.9
254	24/09/2020	47.05
255	25/09/2020	47.05
256	26/09/2020	46.85
257	27/09/2020	47.05
258	28/09/2020	47.05
259	29/09/2020	47.05
260	30/09/2020	47.05
261	01/10/2020	47.05
262	02/10/2020	47
263	03/10/2020	47
264	04/10/2020	46.95
265	05/10/2020	46.95
266	06/10/2020	46.95
267	07/10/2020	46.95
268	08/10/2020	47.05
269	09/10/2020	47
270	10/10/2020	47.05
271	11/10/2020	47.05
272	12/10/2020	46.9
273	13/10/2020	47.05
274	14/10/2020	46.85
275	15/10/2020	47.05
276	16/10/2020	47.05
277	17/10/2020	47.05
278	18/10/2020	47.05
279	19/10/2020	47
280	20/10/2020	46.85
281	21/10/2020	46.75
282	22/10/2020	46.95
283	23/10/2020	46.95
284	24/10/2020	47
285	25/10/2020	46.95
286	26/10/2020	46.85
287	27/10/2020	46.95
288	28/10/2020	46.7
289	29/10/2020	46.9
290	30/10/2020	46.85
291	31/10/2020	46.85
292	01/11/2020	46.85
293	02/11/2020	46.65
294	03/11/2020	46.85
295	04/11/2020	46.85
296	05/11/2020	46.85
297	06/11/2020	46.85
298	07/11/2020	46.8
299	08/11/2020	46.8
300	09/11/2020	46.6
301	10/11/2020	46.8
302	11/11/2020	46.75
303	12/11/2020	46.55
304	13/11/2020	46.75
305	14/11/2020	46.7
306	15/11/2020	46.7
307	16/11/2020	46.65
308	17/11/2020	46.7
309	18/11/2020	46.65
310	19/11/2020	46.65
311	20/11/2020	46.45
312	21/11/2020	46.55
313	22/11/2020	46.5
314	23/11/2020	46.45
315	24/11/2020	46.45
316	25/11/2020	46.45
317	26/11/2020	46.35
318	27/11/2020	46.3
319	28/11/2020	46.25
320	29/11/2020	46.2
321	30/11/2020	46.1
322	01/12/2020	46
323	02/12/2020	45.95
324	03/12/2020	45.8
325	04/12/2020	45.7
326	05/12/2020	45.6
327	06/12/2020	45.5
328	07/12/2020	45.35
329	08/12/2020	45.25
330	09/12/2020	45.15
331	10/12/2020	45
332	11/12/2020	45
333	12/12/2020	44.85
334	13/12/2020	44.7
335	14/12/2020	44.6
336	15/12/2020	44.4
337	16/12/2020	44.3
338	17/12/2020	44.05
339	18/12/2020	44
340	19/12/2020	43.9
341	20/12/2020	43.9
342	21/12/2020	43.8
343	22/12/2020	43.5
344	23/12/2020	43.7
